id	GSM3354765_Control	GSM3354767_Control	GSM3354769_Control	GSM3354771_Control	GSM3354766_Treat	GSM3354768_Treat	GSM3354770_Treat	GSM3354772_Treat
AADAC	3.71668504724394	2.51440077518398	2.61194389257168	5.10843151666263	1.30659377996795	3.5429858994029	2.24627840659589	3.37519837836161
AADACL2	3.44143807271565	1.04399332993212	3.20690214898033	0.705145009379874	1.84232627650622	4.64099280609564	1.3842691466115	0.721803325737807
AADACP1	1.12035199248045	1.3842691466115	5.05416378040557	2.17863366707917	2.49008933866087	1.65116791888295	1.78847916602478	4.19550968326987
AADAT	8.2626728755414	7.68918057134476	8.1617094413372	7.85232339634426	7.68193427366691	7.45106834102321	7.88452686623882	8.35148228205357
AAED1	11.1797695578528	10.7827267809987	11.0717917307352	11.1195351327228	11.1292496685099	10.8711216143813	10.8316090730174	11.0863368582012
AAGAB	9.41043398397337	9.50736845537291	8.98137403828111	9.67138406808319	9.49942976024635	9.51734507845007	8.97375073352533	9.54899023472892
AAK1	8.85518267571253	8.69077912033434	9.14055812429497	8.86276308563076	9.02671221049197	8.78646387984778	9.25830062014954	8.79646307568839
AAMDC	9.45844948796418	9.39846203400221	9.19805681849658	9.62574334153352	9.36416807525256	9.40668280868389	9.27934038212514	9.63075697253409
AAMP	10.5567217152241	10.7838832200595	10.6680786470586	10.2681138900684	10.405158291291	10.4820673112835	10.3167945973364	10.5340234791638
AANAT	1.12035199248045	2.9879559781425	3.01162178787688	2.17863366707917	2.7333054850151	2.27367457211512	1.28420405524034	1.97804289040088
AAR2	9.55319437498258	9.5758692474779	9.47067813753278	9.65150143182766	9.65150143182766	9.39250052339643	9.31269090857772	9.63035844609821
